Altium Designer Pick and Place Locations
C:\Users\Simon Anzer\Desktop\wechselrichter\Altium\Strommessplatine\Project Outputs for Strommessplatine\ProjectRevision\Pick Place\Pick_and_Place_Strommessplatine_Default_Rev01.csv

========================================================================================================================
File Design Information:

Date:       27.09.22
Time:       12:57
Revision:   75b3a281a6ee707b5befd638183d39acb49c2b81
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"J5","39910-0104","26.0000","26.0000","83.0000","80.8200","43.2450","75.7400","90","39910-0104","TopLayer"
"J3","39910-0104","72.0000","72.0000","83.0000","80.8200","89.2450","75.7400","90","39910-0104","TopLayer"
"J4","615008142621","49.0000","49.0000","11.0000","15.6375","44.5500","17.5425","0","615008142621","TopLayer"
"J2","68001-202HLF","77.0000","77.0000","3.9000","3.9000","78.2700","3.9000","180","68001-202HLF","TopLayer"
"U2D","ADA4940-1ARZ-R7","15.1430","15.1430","33.3350","33.3350","12.1430","35.2400","0","","TopLayer"
"U2C","ADA4940-1ARZ-R7","37.3570","37.3570","33.3430","33.3430","34.3570","35.2480","0","","TopLayer"
"U2B","ADA4940-1ARZ-R7","61.2500","61.2500","33.4500","33.4500","58.2500","35.3550","0","","TopLayer"
"U2A","ADA4940-1ARZ-R7","83.2000","83.2000","33.4500","33.4500","80.2000","35.3550","0","","TopLayer"
"C11D","C_0603","19.7180","19.7180","29.3100","29.3100","19.7180","28.6100","90","0.1 µF","TopLayer"
"C10D","C_0603","21.4180","21.4180","29.3100","29.3100","21.4180","28.6100","90","100 pF","TopLayer"
"C7D","C_0603","17.1180","17.1180","43.0600","43.0600","16.4180","43.0600","0","2.2 nF","TopLayer"
"C6D","C_0603","9.8180","9.8180","30.5100","30.5100","9.1180","30.5100","0","1 µF","TopLayer"
"C5D","C_0603","17.2430","17.2430","46.5850","46.5850","17.9430","46.5850","180","1 µF","TopLayer"
"C4D","C_0603","11.0180","11.0180","42.0600","42.0600","11.7180","42.0600","180","2.2 nF","TopLayer"
"C6C","C_0603","32.0320","32.0320","30.5180","30.5180","31.3320","30.5180","0","1 µF","TopLayer"
"C6B","C_0603","55.9250","55.9250","30.6250","30.6250","55.2250","30.6250","0","1 µF","TopLayer"
"C6A","C_0603","77.8750","77.8750","30.6250","30.6250","77.1750","30.6250","0","1 µF","TopLayer"
"C7C","C_0603","39.3320","39.3320","43.0680","43.0680","38.6320","43.0680","0","2.2 nF","TopLayer"
"C7B","C_0603","63.2250","63.2250","43.1750","43.1750","62.5250","43.1750","0","2.2 nF","TopLayer"
"C7A","C_0603","85.1750","85.1750","43.1750","43.1750","84.4750","43.1750","0","2.2 nF","TopLayer"
"C5C","C_0603","39.4570","39.4570","46.5930","46.5930","40.1570","46.5930","180","1 µF","TopLayer"
"C5B","C_0603","63.3500","63.3500","46.7000","46.7000","64.0500","46.7000","180","1 µF","TopLayer"
"C5A","C_0603","85.3000","85.3000","46.7000","46.7000","86.0000","46.7000","180","1 µF","TopLayer"
"C4C","C_0603","33.2320","33.2320","42.0680","42.0680","33.9320","42.0680","180","2.2 nF","TopLayer"
"C4B","C_0603","57.1250","57.1250","42.1750","42.1750","57.8250","42.1750","180","2.2 nF","TopLayer"
"C4A","C_0603","79.0750","79.0750","42.1750","42.1750","79.7750","42.1750","180","2.2 nF","TopLayer"
"C10C","C_0603","43.6320","43.6320","29.3180","29.3180","43.6320","28.6180","90","100 pF","TopLayer"
"C10B","C_0603","67.5250","67.5250","29.4250","29.4250","67.5250","28.7250","90","100 pF","TopLayer"
"C10A","C_0603","89.4750","89.4750","29.4250","29.4250","89.4750","28.7250","90","100 pF","TopLayer"
"C11C","C_0603","41.9320","41.9320","29.3180","29.3180","41.9320","28.6180","90","0.1 µF","TopLayer"
"C11B","C_0603","65.8250","65.8250","29.4250","29.4250","65.8250","28.7250","90","0.1 µF","TopLayer"
"C11A","C_0603","87.7750","87.7750","29.4250","29.4250","87.7750","28.7250","90","0.1 µF","TopLayer"
"C2","C_0603","70.5000","70.5000","9.9000","9.9000","70.5000","9.2000","90","1 µF","TopLayer"
