Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_external_current_sensing\Strommessplatine\Project Outputs for Strommessplatine\Rev02\Pick Place\Pick_and_Place_Strommessplatine_Default_Rev02.csv

========================================================================================================================
File Design Information:

Date:       10.02.25
Time:       10:35
Revision:   3465b7d1b9f2bf3acf0f92510724950fe1125af5
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"J6","68001-202HLF","2.6000","2.6000","14.3000","14.3000","2.6000","15.5700","270","68001-202HLF","TopLayer"
"U4A","ADA4940-1ARZ-R7","95.5570","95.5570","35.1150","35.1150","92.5570","37.0200","0","THS4521","TopLayer"
"U4B","ADA4940-1ARZ-R7","68.5710","68.5710","35.1150","35.1150","65.5710","37.0200","0","THS4521","TopLayer"
"U4C","ADA4940-1ARZ-R7","41.5860","41.5860","35.0930","35.0930","38.5860","36.9980","0","THS4521","TopLayer"
"U4D","ADA4940-1ARZ-R7","14.6000","14.6000","35.0000","35.0000","11.6000","36.9050","0","THS4521","TopLayer"
"C34","C_1206","8.2000","8.2000","19.6000","19.6000","8.2000","21.0500","90","10µF","TopLayer"
"C33","C_1206","12.2000","12.2000","20.5000","20.5000","10.7500","20.5000","180","10µF","TopLayer"
"C31","C_1206","46.9000","46.9000","20.2000","20.2000","45.4500","20.2000","180","10µF","TopLayer"
"C14","C_1206","7.9000","7.9000","15.0000","15.0000","7.9000","13.5500","270","10µF","TopLayer"
"C8","C_1206","23.1000","23.1000","3.7000","3.7000","23.1000","2.2500","270","10µF","TopLayer"
"C9","C_1206","21.1000","21.1000","3.7000","3.7000","21.1000","2.2500","270","10µF","TopLayer"
"C56","C_1206","32.3102","32.3102","12.7460","12.7460","32.3102","11.2960","270","10µF","TopLayer"
"C60","C_1206","35.8000","35.8000","15.6000","15.6000","34.3500","15.6000","180","10µF","TopLayer"
"C3","C_1206","15.8000","15.8000","17.9000","17.9000","15.8000","16.4500","270","10µF","TopLayer"
"C4","C_1206","17.9000","17.9000","17.9000","17.9000","17.9000","16.4500","270","10µF","TopLayer"
"C62","C_1206","40.0000","40.0000","12.2000","12.2000","38.5500","12.2000","180","10µF","TopLayer"
"C17C","C0603","36.0040","36.0040","31.9580","31.9580","36.7040","31.9580","180","0.1 uF","TopLayer"
"C29C","C0603","37.8860","37.8860","45.2930","45.2930","37.1860","45.2930","0","0.1 uF","TopLayer"
"C28C","C0603","37.8860","37.8860","46.7930","46.7930","37.1860","46.7930","0","100 pF","TopLayer"
"R11C","C0603","34.8250","34.8250","35.0350","35.0350","34.8250","35.7350","270","2k 0.1%","TopLayer"
"R16C","C0603","48.3750","48.3750","35.0100","35.0100","48.3750","35.7100","270","2k 0.1%","TopLayer"
"R12C","C0603","40.6860","40.6860","39.7930","39.7930","40.6860","40.4930","270","1k 0.1%","TopLayer"
"R14C","C0603","43.4860","43.4860","39.7930","39.7930","43.4860","40.4930","270","1k 0.1%","TopLayer"
"R15C","C0603","44.2000","44.2000","30.0850","30.0850","44.9000","30.0850","180","49R9","TopLayer"
"R13C","C0603","38.8000","38.8000","30.0850","30.0850","38.1000","30.0850","0","49R9","TopLayer"
"C27C","C0603","46.7750","46.7750","35.0350","35.0350","46.7750","34.3350","90","22 pF","TopLayer"
