Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_external_current_sensing\Strommessplatine\Project Outputs for Strommessplatine\Rev03\Pick Place\Pick_and_Place_Strommessplatine_Default_Rev03.csv

========================================================================================================================
File Design Information:

Date:       08.07.25
Time:       13:27
Revision:   b9e3052759c3b3fac91723b9718dcfc3dc4a8960
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C15","10TPE47MAZB","40.7171","40.7171","5.8110","5.8110","39.2171","5.8110","0","47 uF","TopLayer"
"MP1D","7461001","12.0600","12.0600","90.0000","90.0000","12.0600","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP2D","7461001","27.9400","27.9400","90.0000","90.0000","27.9400","87.4600","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP1C","7461001","52.0600","52.0600","90.0000","90.0000","52.0600","87.4600","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP2C","7461001","67.9400","67.9400","90.0000","90.0000","67.9400","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP1B","7461001","92.0600","92.0600","90.0000","90.0000","92.0600","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP2B","7461001","107.9400","107.9400","90.0000","90.0000","107.9400","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP1A","7461001","132.0600","132.0600","90.0000","90.0000","132.0600","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"MP2A","7461001","147.9400","147.9400","90.0000","90.0000","147.9400","90.0000","0","WP-SHFU REDCUBE PRESS-FIT with external thread","TopLayer"
"U4A","ADA4940-1ARZ-R7","140.1457","140.1457","44.9892","44.9892","137.1457","46.8942","0","THS4521","TopLayer"
"U4B","ADA4940-1ARZ-R7","100.1420","100.1420","44.9893","44.9893","97.1420","46.8943","0","THS4521","TopLayer"
"U4C","ADA4940-1ARZ-R7","60.1440","60.1440","44.9893","44.9893","57.1440","46.8943","0","THS4521","TopLayer"
"U4D","ADA4940-1ARZ-R7","20.0590","20.0590","44.9893","44.9893","17.0590","46.8943","0","THS4521","TopLayer"
"C44","C_0603","10.9000","10.9000","1.6000","1.6000","11.6000","1.6000","180","100 nF","TopLayer"
"C33","C_0603","64.4020","64.4020","11.3639","11.3639","64.4020","10.6639","90","100 nF","TopLayer"
"C32","C_0603","63.4020","63.4020","18.1639","18.1639","62.7020","18.1639","0","100 nF","TopLayer"
"C30","C_0603","39.0020","39.0020","13.6639","13.6639","39.7020","13.6639","180","1 µF","TopLayer"
"C17C","C_0603","59.4945","59.4945","48.1324","48.1324","58.7945","48.1324","0","100 nF","TopLayer"
"C16C","C_0603","58.7521","58.7521","38.6110","38.6110","58.0521","38.6110","0","470 pF","TopLayer"
"C20C","C_0603","61.5521","61.5521","38.6110","38.6110","60.8521","38.6110","0","470 pF","TopLayer"
"C29C","C_0603","56.0440","56.0440","55.1893","55.1893","55.3440","55.1893","0","100 nF","TopLayer"
"C28C","C_0603","56.0440","56.0440","56.6893","56.6893","55.3440","56.6893","0","100 nF","TopLayer"
"C25C","C_0603","56.0003","56.0003","53.7096","53.7096","55.3003","53.7096","0","1 µF","TopLayer"
"C22C","C_0603","63.6870","63.6870","56.5743","56.5743","62.9870","56.5743","0","2.2 nF","TopLayer"
"C23C","C_0603","59.0046","59.0046","41.6326","41.6326","58.3046","41.6326","0","100 nF","TopLayer"
"C24C","C_0603","61.3107","61.3107","41.6326","41.6326","62.0107","41.6326","180","100 nF","TopLayer"
"C17D","C_0603","19.4095","19.4095","48.1324","48.1324","18.7095","48.1324","0","100 nF","TopLayer"
"C17B","C_0603","99.4925","99.4925","48.1324","48.1324","98.7925","48.1324","0","100 nF","TopLayer"
"C17A","C_0603","139.4962","139.4962","48.1323","48.1323","138.7962","48.1323","0","100 nF","TopLayer"
"C13","C_0603","65.7020","65.7020","11.3639","11.3639","65.7020","10.6639","90","1 µF","TopLayer"
"C20D","C_0603","21.4671","21.4671","38.6110","38.6110","20.7671","38.6110","0","470 pF","TopLayer"
"C16D","C_0603","18.6671","18.6671","38.6110","38.6110","17.9671","38.6110","0","470 pF","TopLayer"
"C16B","C_0603","98.7501","98.7501","38.6110","38.6110","98.0501","38.6110","0","470 pF","TopLayer"
"C20B","C_0603","101.5501","101.5501","38.6110","38.6110","100.8501","38.6110","0","470 pF","TopLayer"
"C20A","C_0603","141.5538","141.5538","38.6109","38.6109","140.8538","38.6109","0","470 pF","TopLayer"
"C16A","C_0603","138.7538","138.7538","38.6109","38.6109","138.0538","38.6109","0","470 pF","TopLayer"
"C29D","C_0603","15.9590","15.9590","55.1893","55.1893","15.2590","55.1893","0","100 nF","TopLayer"
"C29B","C_0603","96.0420","96.0420","55.1893","55.1893","95.3420","55.1893","0","100 nF","TopLayer"
"C29A","C_0603","136.0457","136.0457","55.1892","55.1892","135.3457","55.1892","0","100 nF","TopLayer"
"C28D","C_0603","15.9590","15.9590","56.6893","56.6893","15.2590","56.6893","0","100 nF","TopLayer"
"C28B","C_0603","96.0420","96.0420","56.6893","56.6893","95.3420","56.6893","0","100 nF","TopLayer"
"C28A","C_0603","136.0457","136.0457","56.6892","56.6892","135.3457","56.6892","0","100 nF","TopLayer"
"C1","C_0603","22.3520","22.3520","18.2639","18.2639","21.6520","18.2639","0","1 µF","TopLayer"
"C5","C_0603","23.6520","23.6520","12.5639","12.5639","24.3520","12.5639","180","100 nF","TopLayer"
"C24D","C_0603","21.2257","21.2257","41.6326","41.6326","21.9257","41.6326","180","100 nF","TopLayer"
"C23D","C_0603","18.9196","18.9196","41.6326","41.6326","18.2196","41.6326","0","100 nF","TopLayer"
"C25D","C_0603","15.9153","15.9153","53.7096","53.7096","15.2153","53.7096","0","1 µF","TopLayer"
"C22D","C_0603","23.6020","23.6020","56.5743","56.5743","22.9020","56.5743","0","2.2 nF","TopLayer"
"C25B","C_0603","95.9983","95.9983","53.7096","53.7096","95.2983","53.7096","0","1 µF","TopLayer"
"C25A","C_0603","136.0020","136.0020","53.7095","53.7095","135.3020","53.7095","0","1 µF","TopLayer"
"C22B","C_0603","103.6850","103.6850","56.5743","56.5743","102.9850","56.5743","0","2.2 nF","TopLayer"
"C22A","C_0603","143.6887","143.6887","56.5742","56.5742","142.9887","56.5742","0","2.2 nF","TopLayer"
"C23B","C_0603","99.0026","99.0026","41.6326","41.6326","98.3026","41.6326","0","100 nF","TopLayer"
"C23A","C_0603","139.0063","139.0063","41.6325","41.6325","138.3063","41.6325","0","100 nF","TopLayer"
"C24B","C_0603","101.3087","101.3087","41.6326","41.6326","102.0087","41.6326","180","100 nF","TopLayer"
"C24A","C_0603","141.3124","141.3124","41.6325","41.6325","142.0124","41.6325","180","100 nF","TopLayer"
"C12","C_0603","68.0020","68.0020","14.3639","14.3639","68.7020","14.3639","180","1 µF","TopLayer"
"C11","C_0603","63.4020","63.4020","16.8639","16.8639","62.7020","16.8639","0","1 µF","TopLayer"
"C18C","C_0603_TE","60.1521","60.1521","40.2110","40.2110","59.3821","40.2110","90","5.6nF","TopLayer"
"C27C","C_0603_TE","64.6870","64.6870","45.0563","45.0563","64.6870","44.2863","180","22pF","TopLayer"
"C21C","C_0603_TE","55.6830","55.6830","45.0563","45.0563","55.6830","44.2863","180","22pF","TopLayer"
"C18D","C_0603_TE","20.0671","20.0671","40.2110","40.2110","19.2971","40.2110","90","5.6nF","TopLayer"
"C18B","C_0603_TE","100.1501","100.1501","40.2110","40.2110","99.3801","40.2110","90","5.6nF","TopLayer"
"C18A","C_0603_TE","140.1538","140.1538","40.2109","40.2109","139.3838","40.2109","90","5.6nF","TopLayer"
"C27D","C_0603_TE","24.6020","24.6020","45.0563","45.0563","24.6020","44.2863","180","22pF","TopLayer"
"C21D","C_0603_TE","15.5980","15.5980","45.0563","45.0563","15.5980","44.2863","180","22pF","TopLayer"
"C27B","C_0603_TE","104.6850","104.6850","45.0563","45.0563","104.6850","44.2863","180","22pF","TopLayer"
"C27A","C_0603_TE","144.6887","144.6887","45.0562","45.0562","144.6887","44.2862","180","22pF","TopLayer"
"C21B","C_0603_TE","95.6810","95.6810","45.0563","45.0563","95.6810","44.2863","180","22pF","TopLayer"
"C21A","C_0603_TE","135.6847","135.6847","45.0562","45.0562","135.6847","44.2862","180","22pF","TopLayer"
"C49","C_1210_TE","12.8171","12.8171","7.7860","7.7860","11.3421","7.7860","0","2.2 µF","TopLayer"
"C48","C_1210_TE","8.5171","8.5171","13.3110","13.3110","9.9921","13.3110","180","2.2 µF","TopLayer"
"C47","C_1210_TE","8.5171","8.5171","10.6110","10.6110","9.9921","10.6110","180","2.2 µF","TopLayer"
"C46","C_1210_TE","12.8171","12.8171","10.6110","10.6110","11.3421","10.6110","0","2.2 µF","TopLayer"
"C45","C_1210_TE","12.8171","12.8171","13.3110","13.3110","11.3421","13.3110","0","2.2 µF","TopLayer"
"C43","C_1210_TE","17.8171","17.8171","23.9360","23.9360","16.3421","23.9360","0","2.2 µF","TopLayer"
"C42","C_1210_TE","8.5171","8.5171","16.0110","16.0110","9.9921","16.0110","180","2.2 µF","TopLayer"
"C41","C_1210_TE","17.8171","17.8171","26.6610","26.6610","16.3421","26.6610","0","2.2 µF","TopLayer"
"C34","C_1210_TE","12.8171","12.8171","16.0110","16.0110","11.3421","16.0110","0","2.2 µF","TopLayer"
"C14","C_1210_TE","8.5171","8.5171","7.7860","7.7860","9.9921","7.7860","180","2.2 µF","TopLayer"
"C2","C_1210_TE","24.2520","24.2520","10.4639","10.4639","22.7770","10.4639","0","2.2 µF","TopLayer"
